WKT,name,description
"LINESTRING (-4.728636 33.617026, -4.729124 33.616687, -4.728748 33.616437, -4.728255 33.616124, -4.727997 33.615816, -4.727713 33.615679, -4.727504 33.615655, -4.727466 33.615351, -4.728056 33.615297, -4.72884 33.61414)",R1,Route
"POINT (-4.728866 33.618453)",Puit,Weel
"POLYGON ((-4.7257394 33.6172856, -4.7256107 33.6170979, -4.7254793 33.6171381, -4.7256134 33.6173459, -4.7257394 33.6172856))",Home,Home
"POLYGON ((-4.726072 33.6178082, -4.7259755 33.617635, -4.7258588 33.6174352, -4.7255919 33.6175357, -4.7258307 33.6179087, -4.7259969 33.6178428, -4.726072 33.6178082))",Basin,Reservoir
"POLYGON ((-4.7260812 33.6178967, -4.726033 33.6178565, -4.725997 33.6179042, -4.726041 33.6179414, -4.7260812 33.6178967))",station de tete,6*4
"LINESTRING (-4.7267827 33.6192411, -4.7294219 33.6178742)",S1/2,Trachee
"LINESTRING (-4.7264669 33.618857, -4.7290847 33.6175035)",S2/3,Trachee
"LINESTRING (-4.7261772 33.6184952, -4.7287955 33.6171633)",S3/4,Trachee
"LINESTRING (-4.7258078 33.6180584, -4.7281775 33.6168656)",S4/5,Trachee
"LINESTRING (-4.72574 33.6172296, -4.7271294 33.6190835)",T125,Pipe
"POINT (-4.727064 33.6196615)",Point 25,Position
"POINT (-4.7258078 33.6180584)",Point 26,Position
"POINT (-4.725138 33.616968)",Point 27,Position
"POINT (-4.7265589 33.6167918)",Point 28,Position
"POINT (-4.72862 33.616861)",Point 29,Position
"POINT (-4.729709 33.6182725)",Point 30,Position
"POLYGON ((-4.729709 33.6182725, -4.7294219 33.6178742, -4.7267409 33.6192387, -4.727064 33.6196615, -4.729709 33.6182725))",S1,Sector
"POLYGON ((-4.7290847 33.6175035, -4.7264669 33.618857, -4.7267409 33.6192387, -4.7294219 33.6178742, -4.7290847 33.6175035))",S2,Sector
"POLYGON ((-4.7287955 33.6171633, -4.7261658 33.618524, -4.7264669 33.618857, -4.7290847 33.6175035, -4.7287955 33.6171633))",S3,Sector
"POLYGON ((-4.72862 33.616861, -4.7281775 33.6168656, -4.7258078 33.6180584, -4.7261658 33.618524, -4.7288319 33.6171632, -4.72862 33.616861))",S4,Sector
"POLYGON ((-4.725138 33.616968, -4.7258078 33.6180584, -4.7281775 33.6168656, -4.7265589 33.6167918, -4.725138 33.616968))",S5,Sector
"POLYGON ((-4.7294219 33.6178742, -4.7285651 33.6183285, -4.7288226 33.6187149, -4.729709 33.6182725, -4.7294219 33.6178742))",S1Z1,Zone
"POLYGON ((-4.7278838 33.6192197, -4.7288234 33.6187421, -4.7285651 33.6183285, -4.7275531 33.6188064, -4.7278838 33.6192197))",S1Z2,Zone
"POLYGON ((-4.727064 33.6196615, -4.7278838 33.6192197, -4.7275995 33.6188423, -4.7267409 33.6192387, -4.727064 33.6196615))",S1Z3,Zone
"POLYGON ((-4.7285651 33.6183285, -4.7294219 33.6178742, -4.7290847 33.6175035, -4.7282804 33.6179345, -4.7285651 33.6183285))",S2Z1,Zone
"POLYGON ((-4.7275995 33.6188423, -4.7285651 33.6183285, -4.7282804 33.6179345, -4.7272934 33.6184491, -4.7275995 33.6188423))",S2Z2,Zone
"POLYGON ((-4.7267409 33.6192387, -4.7275995 33.6188423, -4.7272934 33.6184491, -4.7264669 33.618857, -4.7267409 33.6192387))",S2Z3,Zone
"POLYGON ((-4.7282804 33.6179345, -4.7290847 33.6175035, -4.7288319 33.6171632, -4.728034 33.6175736, -4.7282804 33.6179345))",S3Z1,Zone
"POLYGON ((-4.7272934 33.6184491, -4.7282804 33.6179345, -4.728034 33.6175736, -4.7270255 33.6180784, -4.7272934 33.6184491))",S3Z2,Zone
"POLYGON ((-4.7264669 33.618857, -4.7272934 33.6184491, -4.7270255 33.6180784, -4.7261772 33.6184952, -4.7264669 33.618857))",S3Z3,Zone
"POLYGON ((-4.728034 33.6175736, -4.7288319 33.6171632, -4.72862 33.616861, -4.7281775 33.6168656, -4.7276961 33.6171112, -4.728034 33.6175736))",S4Z1,Zone
"POLYGON ((-4.7270255 33.6180784, -4.728034 33.6175736, -4.7276961 33.6171112, -4.7266608 33.6176026, -4.7270255 33.6180784))",S4Z2,Zone
"POLYGON ((-4.7261772 33.6184952, -4.7270255 33.6180784, -4.7266711 33.6176461, -4.7258078 33.6180584, -4.7261772 33.6184952))",S4Z3,Zone
"POLYGON ((-4.7270738 33.6174262, -4.7281775 33.6168656, -4.7265589 33.6167918, -4.7270738 33.6174262))",S5Z1,Zone
"POLYGON ((-4.7258078 33.6180584, -4.7270738 33.6174262, -4.7265589 33.6167918, -4.725138 33.616968, -4.7258078 33.6180584))",S5Z2,Zone
